tag,freq,amplitude,time,cycles,failure
AlternatorA,90.0,6.1,0,0,0
AlternatorA,90.0,6.3,3.45,1117800,0
AlternatorA,90.0,6.2,18.41666667,5967000,0
AlternatorA,90.0,6.2,27.28333333,8839800,0
AlternatorA,90.0,6.1,42.4,13737600,0
AlternatorA,90.0,6.2,50.5,16362000,0
AlternatorA,90.0,6.3,114.3333333,37044000,0
AlternatorA,91.2,6.8,114.6833333,37158156,0
AlternatorA,91.2,6.8,123.4,40020012,0
AlternatorA,91.2,6.8,138.3166667,44917452,0
AlternatorA,91.2,6.8,147.4166667,47905164,0
AlternatorA,91.2,6.8,162.3166667,52797132,0
AlternatorA,91.2,6.8,185.9833333,60567372,0
AlternatorA,91.2,6.8,209.9333333,68430636,0
AlternatorA,91.2,6.7,281.9333333,92069676,0
AlternatorA,92.0,7.2,282.1,92124636,0
AlternatorA,92.0,7.2,291.2833333,95166156,0
AlternatorA,92.0,7.2,315.2,103087356,0
AlternatorA,92.0,7.2,334.1166667,109352556,0
AlternatorA,92.0,7.2,354.25,116020716,0
AlternatorA,92.0,7.1,363.15,118968396,0
AlternatorA,92.0,7.2,385.5333333,126381756,0
AlternatorA,92.0,7.2,618.95,203689356,0
AlternatorA,92.9,7.6,619.0166667,203711544,0
AlternatorA,92.9,7.6,625.55,205896552,0
AlternatorA,92.9,7.6,642.2,211464978,0
AlternatorA,92.9,7.6,667.1833333,219820404,0
AlternatorA,93.4,7.9,667.3666667,219881883,0
AlternatorA,93.4,7.9,673.3666667,221899323,1
AlternatorB,91.7,6.95,23.31666667,7697298,0
AlternatorB,91.7,6.94,47.05,15532146,0
AlternatorB,91.7,6.96,73.26666667,24186792,0
AlternatorB,91.7,6.94,95.41666667,31498950,0
AlternatorB,91.7,6.96,169.3,55889316,0
AlternatorB,92.3,7.34,169.35,55905876,0
AlternatorB,92.3,7.34,172.7666667,57041166,0
DisplacerA,379.8,1.28,1.766666667,2415528,0
DisplacerA,379.8,1.24,20.6,28165968,0
DisplacerA,379.8,1.24,43.28333333,59180436,0
DisplacerA,94.6,2.34,0,0,0
DisplacerA,94.6,2.34,4.833333333,1646040,0
DisplacerA,94.6,2.34,8.5,2894760,0
DisplacerA,94.6,2.34,24,8173440,0
DisplacerA,94.6,2.34,27.66666667,9422160,0
DisplacerA,94.6,2.34,31,10557360,0
DisplacerA,94.6,2.34,33.5,11408760,0
DisplacerA,94.6,2.34,47.83333333,16290120,0
DisplacerA,94.6,2.34,50,17028000,0
DisplacerA,94.6,2.34,53.25,18134820,0
DisplacerA,94.6,2.34,55.25,18815940,0
DisplacerA,94.6,2.34,71.58333333,24378420,0
DisplacerA,95.2,2.52,73.16666667,24919350,0
DisplacerA,95.2,2.5,78.13333333,26621526,0
DisplacerA,95.2,2.5,98.08333333,33458790,0
DisplacerA,95.2,2.42,166.5333333,56917974,0
DisplacerA,95.8,2.56,167.55,57267504,0
DisplacerA,95.80,2.54,170.8333333,58399860,0
DisplacerA,95.80,2.52,175.25,59923080,0
DisplacerA,95.80,2.58,192.0333333,65711316,0
DisplacerA,95.80,2.56,195.3833333,66866664,0
DisplacerA,95.80,2.60,243.1333333,83334684,0
DisplacerA,96.20,2.72,243.4,83426844,0
DisplacerA,96.20,2.72,264.25,90647616,0
DisplacerA,96.20,2.72,270.25,92725536,0
DisplacerA,96.20,2.72,337.25,115928976,0
DisplacerA,97.10,2.90,337.5,116015961,0
DisplacerA,97.10,2.92,362.75,124842351,0
DisplacerA,97.10,2.92,365.8333333,125920161,0
DisplacerA,97.10,2.92,383.25,132008331,0
DisplacerA,97.10,2.92,384.25,132357891,0
DisplacerA,97.10,2.92,413.0833333,142436871,0
DisplacerA,98.10,3.10,413.25,142495431,0
DisplacerA,98.10,3.08,437.15,150935955,0
DisplacerA,98.10,3.12,504.9166667,174868431,0
DisplacerA,99.30,3.36,505.1666667,174957261,0
DisplacerA,99.30,3.40,533.25,184996491,0
DisplacerA,99.30,3.38,559.25,194290971,0
DisplacerA,99.30,3.36,577.0833333,200666031,0
DisplacerA,100.10,3.52,577.1666667,200695941,0
DisplacerA,100.10,3.52,586.75,202422666,0
DisplacerA,100.10,3.52,587.75,202422666,0
DisplacerA,100.10,3.52,588.75,202422666,1
DisplacerA,100.10,3.52,589.75,202422666,1
DisplacerA,100.10,3.52,590.75,202422666,1
DisplacerA,100.10,3.52,599.4833333,203996238,1
DisplacerB,96.2,2.76,3.333333333,1154400,0
DisplacerB,96.2,2.78,5.666666667,1962480,0
DisplacerB,96.2,2.82,26.66666667,9235200,0
DisplacerB,96.2,2.8,48.5,16796520,0
DisplacerB,96.2,2.78,54.66666667,18932160,0
DisplacerB,96.2,2.8,77.5,26839800,0
DisplacerB,96.2,2.82,144.8333333,50158680,0
DisplacerB,96.2,2.8,149.6666667,51832560,0
DisplacerB,97.7,4.1,149.75,51861645,0
DisplacerB,97.0,2.98,149.8333333,51890850,0
DisplacerB,97.0,2.98,169.1666667,58642050,0
DisplacerB,97.0,2.98,196.1666667,68070450,0
DisplacerB,97.0,2.98,216.6666667,75229050,0
DisplacerB,97.9,3.16,216.75,75258285,0
DisplacerB,97.9,3.16,220.6666667,76638675,0
DisplacerB,97.9,3.16,244.6666667,85097235,0
DisplacerB,97.9,3.16,313,109180635,0
DisplacerB,98.2,3.24,313.0833333,109210050,0
DisplacerB,98.7,3.3,313.1666667,109239585,0
DisplacerB,98.7,3.32,316.9166667,110572035,0
DisplacerB,98.7,3.3,335.4166667,117145455,0
DisplacerB,98.7,3.3,340,118774005,0
DisplacerB,98.7,3.32,361.6666667,126472605,0
DisplacerB,98.7,3.3,383.6666667,134289645,0
DisplacerB,98.7,3.3,384.9166667,134733795,0
DisplacerB,99.2,3.48,385,134763480,0
DisplacerB,99.2,3.44,391.1666667,136965720,0
DisplacerB,99.2,3.44,416.1666667,145893720,0
DisplacerB,99.2,3.44,479.1666667,168392280,0
DisplacerB,99.9,3.56,480.5833333,168899985,0
DisplacerB,99.9,3.58,484.4166667,170278605,0
DisplacerB,99.9,3.56,507.1666667,178460415,0
DisplacerB,99.9,3.56,514.5833333,181127745,0
DisplacerB,99.9,3.56,515.5833333,181487385,0
DisplacerB,99.9,3.56,516.5833333,181847025,0
DisplacerB,99.9,3.56,517.5833333,182026845,1
DisplacerB,99.9,3.56,518.5833333,182026845,1
DisplacerB,99.9,3.56,519.5833333,182026845,1
DisplacerB,99.9,3.56,520.5833333,182026845,1
DisplacerB,99.9,3.56,528.6666667,182026845,1
